program,course_id,course_name,term,class_type,prerequisite,transcript_hours,duration,Start,End,cap
PCOM,PCOM 0101,Business Writing I,1,1,,35,1.5,8,17,0
PCOM,PCOM 0105,Intercultural Communication Skills,1,1,,35,1.5,8,17,0
PCOM,PCOM 0107,"Technical Development I: Microsoft Word, Excel and Power Point",1,2,,18,2,8,17,1
PCOM,CMSK 0233,MS Project Essentials,1,2,,7,2,8,17,0
PCOM,CMSK 0235,MS Visio Essentials,1,2,,6,2,8,17,0
PCOM,PCOM 0102,Business Writing II,2,1,,35,1.5,8,17,0
PCOM,PCOM 0201,Fundamentals of Public Speaking,2,1,,35,1.5,8,17,0
PCOM,PCOM 0108,"Technical Development II; Microsoft Word, Excel and Power Point",2,2,,18,2,8,17,0
PCOM,PCOM 0202,Advanced Business Presentation,3,4,,33,1.5,8,17,0
PCOM,PCOM 0103,Canadian Workplace Culture,3,1,,35,1.5,8,17,0
PCOM,PCOM 0109-1,The Job Hunt in Canada - Lecture,3,1,,2,2,8,17,0
PCOM,PCOM 0109-2,The Job Hunt in Canada - Module 1,3,2,PCOM 0109-1,8,2,8,17,0
PCOM,PCOM 0109-3,The Job Hunt in Canada - Module 2,3,1,PCOM 0109-2,6,2,8,17,0
